Row Labels,American coot,American wigeon,Blue-winged teal,Bufflehead,Canada goose,Canvasback,Gadwall,Generic goldeneye,Generic scaup,Green-winged teal,Mallard,Northern pintail,Northern shoveler,Pond,Redhead,Ring-necked duck,Ruddy duck
1955,20929.76,15142.93,133027.85,0,0,4614.05,0,0,10605.03,0,93422.23,166381.14,9824.45,73723.32,6215.87,605.85,8023.02
1956,20848.9,13227.54,156181.9,0,0,5920.59,0,0,10134.94,0,109392.67,182620.19,25321.54,93028.95,12423.53,576.67,6636.02
1957,21222.69,11706.35,181534.03,0,0,7120.71,0,0,9822.92,0,127408.75,197785.19,40943.36,110419.36,18491.03,552.96,5741.19
1958,34505,17997,274917,0,0,14715,16003,0,6381,0,259585,210158,48470,132297,21791,0,1579
1959,28444,12888,170033,0,0,0,4387,0,2799,0,86162,54729,36064,66316,9728,0,9046
1960,69042,15231,396744,0,0,11922,41236,0,31486,0,202572,503504,133437,241597,76746,2939,41120
1961,17066,3515,162575,0,0,2433,37288,0,9096,4736,120077,163404,47604,38212,12971,0,3290
1962,57664,2343,278914,0,0,973,88614,0,55276,0,111827,203278,124060,132632,64856,0,14803
1963,15204,6565,228265,0,0,8945,111802,0,8218,0,257285,197867,67292,194139,26494,858,3360
1964,8505,3188,322727,0,0,14111,45979,0,350,0,213748,157048,58989,250656,43237,0,3290
1965,43142,0,501077,0,0,9245,124799,0,8746,0,239506,252971,148948,390944,43237,0,2467
1966,52384,11691,507067,0,0,34305,119578,1202,4898,34728,198873,214426,174802,279861,112416,840,2467
1967,92011,9474,499435,0,0,16016,105522,0,7437,5412,292286,319502,218816,472215,79309,0,21993
1968,65197,1271,399473,0,0,11509,198459,0,9005,7687,227481,90771,115974,190267,60127,0,2861
1969,65734,18734,484734,0,0,37912,191496,0,20687,48317,241448,441204,183476,387920,87639,584,17735
1970,105850,15327,470677,494,0,15571,250079,0,14846,84006,507743,560269,329766,563946,85639,876,77807
1971,112181,15521,873099,0,0,11171,243980,0,17279,16472,573648,569385,152040,437183,81576,876,29750
1972,92086,6711,420062,0,0,19342,227801,0,20466,27230,431991,429305,182648,374207,83960,315,40709
1973,69199,9895,407456,494,2845.78,22849,143377,0,9745,16472,346294,138236,74403,161406,66828,0,32038
1974,266297,35019,767981,0,0,46956,121120,0,28383,43925,297006,337591,147406,950890,69764,584,104696
1975,319088,39972,643081,0,2371.49,33367,203359,0,49776,40630,289900,277885,140329,703416,147541,1168,80053
1976,56039,30264,157248,0,948.59,5845,34041,0,35677,1098,208317,107666,46957,505099,31998,584,17789
1977,36447,12848,101030,0,1660.04,6937,78641,0,17551,0,149351,41027,40314,179186,22812,292,16819
1978,109640,17367,269047,0,948.59,8722,109484,0,43060,10981,237526,261453,125982,304209,97306,584,78042
1979,666883,21593,357577,494,2371.49,23687,224224,0,41125,2745,342414,282688,230020,447428,108295,0,46090
1980,181609,52315,547371,494,2845.78,23501,145208,0,40982,59445,302176,203446,112454,179548,88664,2921,72402
1981,302972,88810,174538,989,5928.72,25815,138019,0,99040,17679,176708,87151,159599,208371,51638,0,199425
1982,343178,10898,425527,0,7588.76,21887,219324,0,73881,24312,219054,173759,183614,443160,169781,4090,139284
1983,180868,13897,237144,2472,6640.17,7893,279820,2509,57254,6810,174279,175630,98156,398146,132761,55211,80060
1984,391561,14395,425872,1483,10434.55,32869,364151,836,70709,7383,314238,183294,135981,554579,100715,9640,152651
1985,140315,33517,289239,494,7114.47,14946,164819,0,72310,32550,216689,126846,92271,355475,72887,2921,87551
1986,191030,11800,429369,494,10908.85,26911,166840,0,80153,4966,241743,136869,131402,381156,52733,4382,108975
1987,325429,26283,301798,0,9011.66,21528,179681,0,64084,21715,331565,81663,139465,281189,68500,1753,85835
1988,150722,17578,255477,494,9485.96,14372,154861,0,40607,17568,178286,62698,49920,135420,24599,2629,5161
1989,106906,7524,165927,494,18023.32,27108,143633,0,23484,5993,184764,53994,86457,198556,73615,5550,34400
1990,70506,1757,79318,494,16600.43,5655,161507,0,22621,0,52318,11384,27457,64885,13243,2921,32610
1991,6378,3544,76782,511,6165.87,7098,91692,0,34250,0,115134,20673,40547,59142,6553,0,2645
1992,70169.95,15204.97,242099.71,1255.36,15414.68,14585.86,214636.08,0,12015.12,5865.21,204475.71,61970.65,77076.15,146723.04,69130.67,5845.49,22680.55
1993,49519.92,5060.03,124870.82,466.47,12568.89,9988.01,121193.91,0,22363.28,4162.24,150588.59,38689.85,67647.22,167251.3,42208.98,0,13110.99
1994,213416.73,29061.12,369735.93,442.46,21343.41,35157,199126.7,0,48403.47,19909.15,423736.23,160989.92,200525.26,412005.79,86400.48,3457.39,44228.36
1995,1207954.42,47115.31,848254.89,1725.24,30592.22,33404.74,378205.02,0,45794.23,28541.64,498890.35,236060.8,379049.14,581619.57,130162.55,25215.86,49702.28
1996,668650.3,35640.05,881515.22,442.3,24929.51,48001.49,377116.72,0,36254.77,45595.86,518812.28,192179.01,363292.99,544982.73,163399.08,5169.9,41437.19
1997,1045266.44,36945.47,941466.29,1980.29,29220.24,52383.87,390484.13,0,46827.1,38946.13,639078.33,198150.87,290366.64,558785.92,139531.82,5377.47,130526.58
1998,474160.53,53438.64,868023.28,859.46,39205.38,40814.12,491234.21,0,86261.63,25220.13,660878.15,153917.74,216662.79,462406.41,211216.61,3533.02,83491.98
1999,556318.42,34337.62,1098889.07,0,57129.53,33790.06,529263.38,0,57295.54,15711.17,814793.99,307428.35,313906.68,895502.64,159685.09,5841.45,127818.82
2000,485090.18,39766,1814365.59,1282.28,81011.45,11934.16,696253.69,1255.15,77212.73,9680.08,807384.5,133372.89,383184.74,363216.1,218194.23,1872.73,145902.85
2001,197770.06,39215.78,995454.8,4159.15,81696.47,62074.4,429378.01,0,57751.81,19468.4,838797.07,241364.2,466768.66,414928,170372.37,3868.71,124083.99
2002,341529.21,58249.52,765996.77,1749.97,56937.19,22018.98,388907.13,0,66879.94,36225.56,665324.46,132053.14,225352.79,373715.6,87914.38,8410.94,130402.68
2003,63148.79,48633.2,750895.86,0,90966.87,16725.25,353492.3,0,70962.25,8369.13,576655.6,87416.5,207070.52,499405.08,75339.6,1857.86,51092.73
2004,454475.41,31559.54,638862.59,0,97385.68,34013.68,491735.28,0,82578.16,50919.47,654950.84,128983.33,224357.13,455388.09,113001.4,0,130572.02
2005,69781.27,30786.13,629165.02,0,137489.15,21042.57,313333.29,0,64058.38,15520.53,586264.91,120175.06,278322.2,373190.54,78987.9,2827.97,102777.74
2006,48262.21,29721.05,592617.37,0,132375.02,23025.83,279031.64,0,59420.05,26603.56,637981.17,118266.27,195256.23,412520.69,71590.55,1023.68,66776.87
2007,81746.05303,33557.95571,544971.4998,0,209098.476,38316.55505,525097.3441,743.7176391,108749.4427,15658.73795,697902.7502,147243.2396,213478.7374,336168.0407,94234.19747,10005.12083,55312.07235
2008,76726,12245,421825,409,147340,14740,373405,729,43210,8215,560381,81358,189251,185740,69200,1418,74347
2009,364672,59483,1437920,1234,152030,63300,475710,727,161100,68839,984289,412540,748801,738039,267051,11828,122668
2010,380561,84516,975639,3033,187884,97831,467342,0,134324,94082,852581,346948,550871,865217,202148,7205,98083
2011,413427,40327,1483995,3741,199648,85967,512255,0,103273,36938,1021357,673633,567681,871934,347752,26046,75970
2012,753940,40636,1739616,2479,229239,58000,693355,685,146995,50166,912787,410153,560209,462720,321852,11297,71982
2013,344303,71624,1054864,5330,170321,95107,548413,0,114419,52449,1005007,401160,583182,980660,263011,27853,44278
2014,737315,74235,998688,6986,175403,86060,478503,0,183432,122654,830673,383551,595028,671970,166308,15949,129812
2015,108598,105818,997095,2952,164440,102239,529283,0,268769,65819,740881,237948,272036,556741,126452,12833,61918
