YEAR,STRATUM,AOU,SPECIES,POP
1959,45,2210,American coot,28444
1959,45,9991,Pond,66316
1959,46,1320,Mallard,51762
1959,46,1350,Gadwall,9008
1959,46,1370,American wigeon,12030
1959,46,1390,Green-winged teal,0
1959,46,1400,Blue-winged teal,130169
1959,46,1420,Northern shoveler,9257
1959,46,1430,Northern pintail,8027
1959,46,1460,Redhead,5549
1959,46,1470,Canvasback,6870
1959,46,1499,Generic scaup,17511
1959,46,1500,Ring-necked duck,0
1959,46,1519,Generic goldeneye,0
1959,46,1530,Bufflehead,0
1959,46,1670,Ruddy duck,14777
1959,46,1720,Canada goose,0
1959,46,2210,American coot,65047
1959,46,9991,Pond,22148
1960,45,1320,Mallard,202572
1960,45,1350,Gadwall,41236
1960,45,1370,American wigeon,15231
1960,45,1390,Green-winged teal,0
1960,45,1400,Blue-winged teal,396744
1960,45,1420,Northern shoveler,133437
1960,45,1430,Northern pintail,503504
1960,45,1460,Redhead,76746
1960,45,1470,Canvasback,11922
1960,45,1499,Generic scaup,31486
1960,45,1500,Ring-necked duck,2939
1960,45,1519,Generic goldeneye,0
1960,45,1530,Bufflehead,0
1960,45,1670,Ruddy duck,41120
1960,45,1720,Canada goose,0
1960,45,2210,American coot,69042
1960,45,9991,Pond,241597
1960,46,1320,Mallard,75290
1960,46,1350,Gadwall,43915
1960,46,1370,American wigeon,7519
1960,46,1390,Green-winged teal,0
1960,46,1400,Blue-winged teal,95713
1960,46,1420,Northern shoveler,46285
1960,46,1430,Northern pintail,122419
1960,46,1460,Redhead,8324
1960,46,1470,Canvasback,1249
1960,46,1499,Generic scaup,7184
1960,46,1500,Ring-necked duck,0
1960,46,1519,Generic goldeneye,0
1960,46,1530,Bufflehead,0
1960,46,1670,Ruddy duck,3166
1960,46,1720,Canada goose,0
1960,46,2210,American coot,12943
1960,46,9991,Pond,98717
1961,45,1320,Mallard,120077
1961,45,1350,Gadwall,37288
1961,45,1370,American wigeon,3515
1961,45,1390,Green-winged teal,4736
1961,45,1400,Blue-winged teal,162575
1961,45,1420,Northern shoveler,47604
1961,45,1430,Northern pintail,163404
1961,45,1460,Redhead,12971
1961,45,1470,Canvasback,2433
1961,45,1499,Generic scaup,9096
1961,45,1500,Ring-necked duck,0
1961,45,1519,Generic goldeneye,0
1961,45,1530,Bufflehead,0
1961,45,1670,Ruddy duck,3290
1961,45,1720,Canada goose,0
1961,45,2210,American coot,17066
1961,45,9991,Pond,38212
1961,46,1320,Mallard,76466
1961,46,1350,Gadwall,19143
1961,46,1370,American wigeon,1504
1961,46,1390,Green-winged teal,2026
1961,46,1400,Blue-winged teal,130169
